2025-01-25_15:39:38 | Dados salvos em: noticias.json
2025-01-25_16:03:43 | Log iniciado em: 2025-01-25
2025-01-25_16:03:43 | ChromeDriver configurado com sucesso.
2025-01-25_16:03:43 | Acessando URL: https://tecnoblog.net/tema/redes-sociais-web/
2025-01-25_16:03:52 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_16:03:54 | Número total de notícias carregadas: 58
2025-01-25_16:03:56 | Dados salvos em: noticias.json
2025-01-25_22:14:34 | Log iniciado em: 2025-01-25
2025-01-25_22:14:34 | ChromeDriver configurado com sucesso.
2025-01-25_22:14:34 | Acessando URL: https://tecnoblog.net/tema/banda-larga-telecom/
2025-01-25_22:14:54 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:14:56 | Número total de notícias carregadas: 60
2025-01-25_22:14:58 | Dados salvos em: noticias.json
2025-01-25_22:21:21 | Log iniciado em: 2025-01-25
2025-01-25_22:21:21 | ChromeDriver configurado com sucesso.
2025-01-25_22:21:21 | Acessando URL: https://tecnoblog.net/tema/games-jogos/
2025-01-25_22:21:30 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:21:32 | Número total de notícias carregadas: 58
2025-01-25_22:21:34 | Dados salvos em: noticias.json
2025-01-25_22:31:26 | Log iniciado em: 2025-01-25
2025-01-25_22:31:26 | ChromeDriver configurado com sucesso.
2025-01-25_22:31:26 | Acessando URL: https://tecnoblog.net/tema/games-jogos/
2025-01-25_22:31:36 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:31:37 | Número total de notícias carregadas: 58
2025-01-25_22:31:40 | Dados salvos em: noticias.json
2025-01-25_22:41:08 | Log iniciado em: 2025-01-25
2025-01-25_22:41:08 | ChromeDriver configurado com sucesso.
2025-01-25_22:41:08 | Acessando URL: https://tecnoblog.net/tema/games-jogos/
2025-01-25_22:41:18 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:41:19 | Encontrado o menu de navegação de páginas!
2025-01-25_22:41:27 | Acessando página 2. Notícias carregadas até agora: 58
2025-01-25_22:41:29 | Encontrado o menu de navegação de páginas!
2025-01-25_22:41:39 | Acessando página 3. Notícias carregadas até agora: 118
2025-01-25_22:41:41 | Encontrado o menu de navegação de páginas!
2025-01-25_22:41:50 | Acessando página 4. Notícias carregadas até agora: 178
2025-01-25_22:41:52 | Número total de notícias carregadas: 238
2025-01-25_22:41:55 | Total de notícias coletadas antes de salvar: 60
2025-01-25_22:41:55 | Título capturado: PlayStation VR2 chega ao Brasil em fevereiro pelo preço de um PlayStation 5
2025-01-25_22:41:56 | Título capturado: Sony vende 25 milhões de PS5, mas perde assinantes da PS Plus
2025-01-25_22:41:56 | Título capturado: Phil Spencer reconsidera e mantém Call of Duty de maneira vitalícia no PlayStation
2025-01-25_22:41:56 | Título capturado: Mercado Pago é mais uma empresa a levar seu serviço para servidor de GTA RP
2025-01-25_22:41:56 | Título capturado: Acessórios Xbox transformam até o iPad em um console para o Xbox Cloud
2025-01-25_22:42:01 | Título capturado: Como criar roupas no Roblox
2025-01-25_22:42:01 | Título capturado: Como jogar GTA RP no PC
2025-01-25_22:42:01 | Título capturado: Steam muda recomendação de preços e jogos podem ficar mais caros no Brasil
2025-01-25_22:42:01 | Título capturado: Justiça de SP condena Sony a reembolsar gastos de jogador banido da PSN
2025-01-25_22:42:02 | Título capturado: PS5 com chat de voz do Discord deve chegar em breve
